workerid,proliferate.condition,color,modal1,modal2,pair,percentage_blue,rating1,rating2,rating_other,reverse_sent_order,sentence1,sentence2,error
1328,might-probably,blue,might,probably,might-probably,50,0.7,0.05000000000000005,0.25,1,You might get a blue one,You'll probably get a blue one,
1328,might-probably,blue,might,probably,might-probably,10,0.67,0.32,0.010000000000000007,1,You might get a blue one,You'll probably get a blue one,
1328,might-probably,blue,might,probably,might-probably,75,0.7399999999999999,0.26,0,1,You might get a blue one,You'll probably get a blue one,
1328,might-probably,orange,might,probably,might-probably,25,0.74,0.26,0,1,You might get an orange one,You'll probably get an orange one,
1328,might-probably,blue,might,probably,might-probably,40,0.14,0.86,0,1,You might get a blue one,You'll probably get a blue one,
1328,might-probably,blue,might,probably,might-probably,60,0.18999999999999995,0.81,0,1,You might get a blue one,You'll probably get a blue one,
1328,might-probably,orange,might,probably,might-probably,40,0.17999999999999994,0.82,0,1,You might get an orange one,You'll probably get an orange one,
1328,might-probably,blue,might,probably,might-probably,0,0.19000000000000009,0.81,0,1,You might get a blue one,You'll probably get a blue one,
1328,might-probably,orange,might,probably,might-probably,50,0.73,0.27,0,1,You might get an orange one,You'll probably get an orange one,
1328,might-probably,blue,might,probably,might-probably,25,0.43999999999999995,0.56,0,1,You might get a blue one,You'll probably get a blue one,
1328,might-probably,blue,might,probably,might-probably,90,0.3800000000000001,0.62,0,1,You might get a blue one,You'll probably get a blue one,
1328,might-probably,orange,might,probably,might-probably,60,0.47,0.53,0,1,You might get an orange one,You'll probably get an orange one,
1328,might-probably,orange,might,probably,might-probably,100,0.31999999999999984,0.68,0,1,You might get an orange one,You'll probably get an orange one,
1328,might-probably,orange,might,probably,might-probably,10,0.29000000000000004,0.71,0,1,You might get an orange one,You'll probably get an orange one,
1328,might-probably,orange,might,probably,might-probably,0,0.4800000000000001,0.52,0,1,You might get an orange one,You'll probably get an orange one,
1328,might-probably,orange,might,probably,might-probably,75,0.4,0.59,0,1,You might get an orange one,You'll probably get an orange one,
1328,might-probably,blue,might,probably,might-probably,100,0.4600000000000001,0.54,0,1,You might get a blue one,You'll probably get a blue one,
1328,might-probably,orange,might,probably,might-probably,90,0.35,0.65,0,1,You might get an orange one,You'll probably get an orange one,
