"","workerid","score","exclude","notes"
"1","1507",14,NA,"not sure – took quite long (among the top longest & low score) – look at how they did on other tasks?"
"2","1400",15,NA,"seems fine"
"3","1554",18,1,"the one who took longest and also did poorly on rmet"
"4","1403",20,NA,""
"5","1399",20,NA,""
"6","1549",20,NA,""
"7","1401",21,NA,""
"8","1519",21,NA,""
"9","1515",21,NA,""
"10","1430",22,NA,""
"11","1535",22,NA,""
"12","1552",23,NA,""
"13","1568",23,NA,""
"14","1405",24,NA,""
"15","1365",24,NA,""
"16","1418",24,NA,""
"17","1565",24,NA,""
"18","1551",24,NA,""
"19","1526",24,NA,""
"20","1371",25,NA,""
"21","1364",25,NA,""
"22","1386",26,NA,""
"23","1408",26,NA,""
"24","1426",26,NA,""
"25","1531",26,NA,""
"26","1529",26,NA,""
"27","1562",26,NA,""
"28","1541",26,NA,""
"29","1514",26,NA,""
"30","1407",27,NA,""
"31","1517",27,NA,""
"32","1558",27,NA,""
"33","1506",27,NA,""
"34","1555",27,NA,""
"35","1538",27,NA,""
"36","1518",27,NA,""
"37","1530",27,NA,""
"38","1508",27,NA,""
"39","1409",28,NA,""
"40","1375",28,NA,""
"41","1376",28,NA,""
"42","1423",28,NA,""
"43","1355",28,NA,""
"44","1411",28,NA,""
"45","1537",28,NA,""
"46","1533",28,NA,""
"47","1539",28,NA,""
"48","1524",28,NA,""
"49","1527",28,NA,""
"50","1546",28,NA,""
"51","1385",29,NA,""
"52","1372",29,NA,""
"53","1388",29,NA,""
"54","1353",29,NA,""
"55","1560",29,NA,""
"56","1547",29,NA,""
"57","1513",29,NA,""
"58","1540",29,NA,""
"59","1544",29,NA,""
"60","1522",29,NA,""
"61","1569",29,NA,""
"62","1429",30,NA,""
"63","1427",30,NA,""
"64","1548",30,NA,""
"65","1566",30,NA,""
"66","1511",30,NA,""
"67","1512",30,NA,""
"68","1542",30,NA,""
"69","1510",30,NA,""
"70","1559",30,NA,""
"71","1370",31,NA,""
"72","1367",31,NA,""
"73","1432",31,NA,""
"74","1570",31,NA,""
"75","1553",31,NA,""
"76","1563",31,NA,""
"77","1564",31,NA,""
"78","1561",31,NA,""
"79","1509",31,NA,""
"80","1397",32,NA,""
"81","1391",32,NA,""
"82","1359",32,NA,""
"83","1525",32,NA,""
"84","1516",32,NA,""
"85","1556",32,NA,""
"86","1534",32,NA,""
"87","1523",32,NA,""
"88","1543",32,NA,""
"89","1571",32,NA,""
"90","1521",32,NA,""
"91","1395",33,NA,""
"92","1536",33,NA,""
"93","1567",33,NA,""
"94","1550",33,NA,""
"95","1387",34,NA,""
"96","1528",34,NA,""
"97","1532",34,NA,""
"98","1373",35,NA,""
"99","1368",35,NA,""
"100","1520",35,NA,""
