"","workerid","score","exclude","notes"
"1","1355",8,1,"took a lot longer than everyone else & very low score"
"2","1399",15,1,"took a lot longer than everyone else & very low score"
"3","1554",17,1,"took a lot longer than everyone else & very low score & no completion code"
"4","1567",19,NA,""
"5","1527",20,NA,""
"6","1408",21,NA,""
"7","1529",21,NA,""
"8","1507",22,NA,""
"9","1556",22,NA,""
"10","1371",23,NA,""
"11","1364",23,NA,""
"12","1531",23,NA,""
"13","1547",23,NA,""
"14","1538",23,NA,""
"15","1400",24,NA,""
"16","1365",24,NA,""
"17","1564",24,NA,""
"18","1544",24,NA,""
"19","1510",24,NA,""
"20","1518",24,NA,""
"21","1427",25,NA,""
"22","1430",25,NA,""
"23","1571",25,NA,""
"24","1405",26,NA,""
"25","1407",26,NA,""
"26","1570",26,NA,""
"27","1548",26,NA,""
"28","1516",26,NA,""
"29","1541",26,NA,""
"30","1519",26,NA,""
"31","1401",27,NA,""
"32","1387",27,NA,""
"33","1423",27,NA,""
"34","1353",27,NA,""
"35","1565",27,NA,""
"36","1566",27,NA,""
"37","1537",27,NA,""
"38","1522",27,NA,""
"39","1549",27,NA,""
"40","1508",27,NA,""
"41","1568",27,NA,""
"42","1546",27,NA,""
"43","1418",28,NA,""
"44","1512",28,NA,""
"45","1551",28,NA,""
"46","1506",28,NA,""
"47","1562",28,NA,""
"48","1514",28,NA,""
"49","1403",29,NA,""
"50","1391",29,NA,""
"51","1385",29,NA,""
"52","1388",29,NA,""
"53","1426",29,NA,""
"54","prolificid",29,NA,""
"55","1535",29,NA,""
"56","1511",29,NA,""
"57","1552",29,NA,""
"58","1569",29,NA,""
"59","1521",29,NA,""
"60","1515",29,NA,""
"61","1395",30,NA,""
"62","1370",30,NA,""
"63","1372",30,NA,""
"64","1375",30,NA,""
"65","1367",30,NA,""
"66","1411",30,NA,""
"67","1553",30,NA,""
"68","1517",30,NA,""
"69","1525",30,NA,""
"70","1561",30,NA,""
"71","1540",30,NA,""
"72","1542",30,NA,""
"73","1523",30,NA,""
"74","1543",30,NA,""
"75","1555",30,NA,""
"76","1530",30,NA,""
"77","1532",30,NA,""
"78","1397",31,NA,""
"79","1368",31,NA,""
"80","1359",31,NA,""
"81","1560",31,NA,""
"82","1533",31,NA,""
"83","1524",31,NA,""
"84","1526",31,NA,""
"85","1432",32,NA,""
"86","1528",32,NA,""
"87","1536",32,NA,""
"88","1563",32,NA,""
"89","1539",32,NA,""
"90","1534",32,NA,""
"91","1550",32,NA,""
"92","1373",33,NA,""
"93","1513",33,NA,""
"94","1558",33,NA,""
"95","1559",33,NA,""
"96","1409",34,NA,""
"97","1429",34,NA,""
"98","1376",34,NA,""
"99","1520",34,NA,""
"100","1386",35,NA,""
"101","1509",42,NA,""
