"","workerid","unseen_critical","correct_critical","unseen_decoy","correct_decoy","crt","decoy_score","exclude"
"1","1409",5,2,4,4,0.4,1,0
"2","1570",6,0,4,4,0,1,0
"3","1395",5,2,4,4,0.4,1,0
"4","1565",4,0,4,4,0,1,0
"5","1528",4,1,4,4,0.25,1,0
"6","1370",4,4,4,4,1,1,0
"7","1553",5,0,4,2,0,0.5,0
"8","1397",5,3,4,4,0.6,1,0
"9","1548",6,4,4,4,0.666666666666667,1,0
"10","1535",4,2,4,4,0.5,1,0
"11","1566",5,0,4,4,0,1,0
"12","1403",5,1,4,4,0.2,1,0
"13","1429",6,4,4,4,0.666666666666667,1,0
"14","1371",5,0,4,4,0,1,0
"15","1560",5,0,4,4,0,1,0
"16","1517",5,1,4,3,0.2,0.75,0
"17","1401",5,0,4,4,0,1,0
"18","1507",6,2,4,2,0.333333333333333,0.5,0
"19","1386",4,0,4,4,0,1,0
"20","1537",4,0,4,4,0,1,0
"21","1533",4,0,4,3,0,0.75,0
"22","1385",4,1,4,4,0.25,1,0
"23","1564",6,5,4,4,0.833333333333333,1,0
"24","1513",4,1,4,4,0.25,1,0
"25","1512",6,1,4,4,0.166666666666667,1,0
"26","1364",4,0,4,2,0,0.5,0
"27","1368",4,3,4,4,0.75,1,0
"28","1552",5,2,4,4,0.4,1,0
"29","1372",5,0,4,4,0,1,0
"30","1561",5,0,4,4,0,1,0
"31","1540",4,1,4,4,0.25,1,0
"32","1516",4,1,4,4,0.25,1,0
"33","1556",6,3,4,3,0.5,0.75,0
"34","1544",4,3,4,4,0.75,1,0
"35","1408",6,4,4,3,0.666666666666667,0.75,0
"36","1569",5,2,4,4,0.4,1,0
"37","1427",5,0,4,3,0,0.75,0
"38","1524",6,1,4,4,0.166666666666667,1,0
"39","1551",6,1,4,2,0.166666666666667,0.5,0
"40","1375",4,2,4,3,0.5,0.75,0
"41","1520",5,2,4,4,0.4,1,0
"42","1387",4,1,4,4,0.25,1,0
"43","1534",5,2,4,3,0.4,0.75,0
"44","1558",5,0,4,4,0,1,0
"45","1405",6,1,4,4,0.166666666666667,1,0
"46","1554",6,1,4,2,0.166666666666667,0.5,0
"47","1529",5,1,4,2,0.2,0.5,0
"48","1542",5,1,4,3,0.2,0.75,0
"49","1359",6,0,4,4,0,1,0
"50","1523",4,1,4,3,0.25,0.75,0
"51","1367",5,3,4,3,0.6,0.75,0
"52","1550",4,0,4,4,0,1,0
"53","1527",5,4,4,4,0.8,1,0
"54","1388",6,1,4,4,0.166666666666667,1,0
"55","1432",5,1,4,4,0.2,1,0
"56","1506",4,0,4,3,0,0.75,0
"57","1426",5,0,4,3,0,0.75,0
"58","1510",5,2,4,3,0.4,0.75,0
"59","1571",6,1,4,4,0.166666666666667,1,0
"60","1423",5,1,4,4,0.2,1,0
"61","1555",6,2,4,4,0.333333333333333,1,0
"62","1549",6,1,4,2,0.166666666666667,0.5,0
"63","1538",5,0,4,3,0,0.75,0
"64","1400",5,0,4,3,0,0.75,0
"65","1509",4,0,4,3,0,0.75,0
"66","1562",4,0,4,3,0,0.75,0
"67","1518",6,1,4,4,0.166666666666667,1,0
"68","1541",5,0,4,4,0,1,0
"69","1530",4,4,4,3,1,0.75,0
"70","1526",5,0,4,4,0,1,0
"71","1365",6,1,4,4,0.166666666666667,1,0
"72","1418",5,3,4,4,0.6,1,0
"73","1568",6,6,4,4,1,1,0
"74","1355",6,0,4,4,0,1,0
"75","1411",5,2,4,4,0.4,1,0
"76","1519",6,1,4,2,0.166666666666667,0.5,0
"77","1353",6,2,4,4,0.333333333333333,1,0
"78","1532",4,1,4,4,0.25,1,0
"79","1399",6,0,4,4,0,1,0
"80","1430",6,1,4,4,0.166666666666667,1,0
"81","1546",6,0,4,4,0,1,0
"82","1515",6,2,4,3,0.333333333333333,0.75,0
"83","1514",6,2,4,3,0.333333333333333,0.75,0
"84","workerid",6,4,4,4,0.666666666666667,1,0
"85","1373",3,0,4,4,0,1,1
"86","1531",2,0,3,3,0,1,1
"87","1391",3,2,4,4,0.666666666666667,1,1
"88","1511",3,2,4,4,0.666666666666667,1,1
"89","1536",3,3,4,4,1,1,1
"90","1567",1,0,4,4,0,1,1
"91","1547",3,1,3,3,0.333333333333333,1,1
"92","1563",2,1,3,3,0.5,1,1
"93","1525",3,1,4,4,0.333333333333333,1,1
"94","1539",3,0,4,2,0,0.5,1
"95","1522",3,2,4,4,0.666666666666667,1,1
"96","1376",2,0,4,4,0,1,1
"97","1543",3,2,4,4,0.666666666666667,1,1
"98","1521",3,0,4,4,0,1,1
"99","1559",3,1,4,4,0.333333333333333,1,1
"100","1508",2,2,2,2,1,1,1
