"","workerid","condition","likelihood.cautious","likelihood.confident","most_likely_model","likelihood_ratio","test_order","noticed_manipulation","first_speaker_type","prior_likelihood_ratio"
"1",1351,"cautious",-950.978836791529,-1088.13143727359,"cautious",-137.152600482066,"parallel",0,"confident",-184.322093661022
"2",1351,"confident",-800.559657291056,-878.255344892614,"cautious",-77.6956876015583,"parallel",0,"confident",-184.322093661022
"3",1352,"cautious",-670.657525146645,-737.590947216539,"cautious",-66.9334220698939,"reverse",1,"cautious",-111.477684617667
"4",1352,"confident",-625.191140490838,-525.596311105112,"confident",99.5948293857256,"reverse",1,"cautious",-111.477684617667
"5",1353,"cautious",-432.430342039748,-469.85157419437,"cautious",-37.4212321546221,"parallel",0,"confident",-100.769457100886
"6",1353,"confident",-683.96085810556,-430.044136078654,"confident",253.916722026905,"parallel",0,"confident",-100.769457100886
"7",1354,"cautious",-562.888309118697,-597.545306473626,"cautious",-34.6569973549293,"parallel",0,"cautious",47.9117373782101
"8",1354,"confident",-593.624867797123,-438.660153027289,"confident",154.964714769834,"parallel",0,"cautious",47.9117373782101
"9",1355,"cautious",-1841.3157311112,-1893.1227442103,"cautious",-51.8070130990964,"reverse",0,"confident",-16.2931961037859
"10",1355,"confident",-2052.49444887969,-2008.86514397466,"confident",43.6293049050323,"reverse",0,"confident",-16.2931961037859
"11",1356,"cautious",-559.418646967314,-502.818805113187,"confident",56.5998418541274,"reverse",1,"cautious",-4.17268308115808
"12",1356,"confident",-726.79071137775,-573.348399405182,"confident",153.442311972568,"reverse",1,"cautious",-4.17268308115808
"13",1359,"cautious",-432.430342039748,-469.85157419437,"cautious",-37.4212321546221,"reverse",0,"confident",-35.6668010983936
"14",1359,"confident",-633.188462389696,-547.621969916422,"confident",85.5664924732744,"reverse",0,"confident",-35.6668010983936
"15",1360,"cautious",-915.873376247157,-947.56262726517,"cautious",-31.6892510180135,"parallel",0,"confident",-57.8768285792623
"16",1360,"confident",-1205.38642468539,-1213.79041697884,"cautious",-8.40399229345348,"parallel",0,"confident",-57.8768285792623
"17",1362,"cautious",-931.236989379398,-1041.54050346859,"cautious",-110.30351408919,"parallel",0,"confident",-139.085208761637
"18",1362,"confident",-725.798103000006,-829.417661321527,"cautious",-103.619558321521,"parallel",0,"confident",-139.085208761637
"19",1363,"cautious",-767.288291957115,-767.382894390306,"cautious",-0.0946024331908575,"parallel",0,"cautious",-19.2490128601714
"20",1363,"confident",-577.780506735377,-582.517700225119,"cautious",-4.73719348974214,"parallel",0,"cautious",-19.2490128601714
"21",1364,"cautious",-1185.18294539707,-1205.25962493099,"cautious",-20.076679533915,"reverse",0,"confident",-122.017099640864
"22",1364,"confident",-860.133070470673,-867.632651115092,"cautious",-7.4995806444191,"reverse",0,"confident",-122.017099640864
"23",1365,"cautious",-507.832306882954,-553.029132416774,"cautious",-45.1968255338206,"reverse",0,"cautious",41.251467426318
"24",1365,"confident",-869.687213093458,-767.376374146,"confident",102.310838947458,"reverse",0,"cautious",41.251467426318
"25",1367,"cautious",-589.186147121604,-540.416002928205,"confident",48.770144193399,"reverse",0,"confident",-38.9306215520292
"26",1367,"confident",-958.167758385458,-811.602967698228,"confident",146.56479068723,"reverse",0,"confident",-38.9306215520292
"27",1368,"cautious",-520.324047553776,-1024.30561828559,"cautious",-503.981570731815,"parallel",1,"confident",-246.468491550698
"28",1368,"confident",-666.935504549719,-460.152918294668,"confident",206.782586255051,"parallel",1,"confident",-246.468491550698
"29",1370,"cautious",-300.512011709367,-635.883174212575,"cautious",-335.371162503208,"parallel",1,"confident",-117.545484019707
"30",1370,"confident",-567.042042823624,-449.640642962539,"confident",117.401399861085,"parallel",1,"confident",-117.545484019707
"31",1371,"cautious",-767.852735982708,-989.106736594539,"cautious",-221.254000611832,"parallel",0,"cautious",-240.10706931168
"32",1371,"confident",-722.531777977368,-1025.745441926,"cautious",-303.213663948636,"parallel",0,"cautious",-240.10706931168
"33",1372,"cautious",-569.604243220914,-541.931680223315,"confident",27.6725629975982,"reverse",0,"confident",42.4318281200217
"34",1372,"confident",-811.737288364095,-549.302702542669,"confident",262.434585821426,"reverse",0,"confident",42.4318281200217
"35",1373,"cautious",-299.260756083358,-482.505174314088,"cautious",-183.24441823073,"reverse",1,"cautious",-269.045445843877
"36",1373,"confident",-959.852544222586,-391.580273898974,"confident",568.272270323613,"reverse",1,"cautious",-269.045445843877
"37",1375,"cautious",-337.744519873279,-544.143726899929,"cautious",-206.399207026649,"reverse",1,"confident",-116.331813248975
"38",1375,"confident",-666.177384667486,-557.659128379065,"confident",108.518256288421,"reverse",1,"confident",-116.331813248975
"39",1376,"cautious",-299.260756083358,-482.505174314088,"cautious",-183.24441823073,"parallel",0,"confident",-74.551376612265
"40",1376,"confident",-299.260756083358,-482.505174314088,"cautious",-183.24441823073,"parallel",0,"confident",-74.551376612265
"41",1377,"cautious",-505.531130923955,-390.320862443659,"confident",115.210268480296,"reverse",0,"cautious",262.434585821426
"42",1377,"confident",-505.531130923955,-390.320862443659,"confident",115.210268480296,"reverse",0,"cautious",262.434585821426
"43",1378,"cautious",-299.260756083358,-482.505174314088,"cautious",-183.24441823073,"parallel",0,"confident",-59.8598411309868
"44",1378,"confident",-350.220412666087,-565.470591599318,"cautious",-215.250178933231,"parallel",0,"confident",-59.8598411309868
"45",1380,"cautious",-662.094602603589,-967.689570587508,"cautious",-305.594967983919,"reverse",0,"confident",-221.397560285794
"46",1380,"confident",-468.641960982249,-666.231379529488,"cautious",-197.589418547239,"reverse",0,"confident",-221.397560285794
"47",1381,"cautious",-1750.42655719256,-1893.7327457045,"cautious",-143.306188511944,"reverse",0,"cautious",-86.0744698974693
"48",1381,"confident",-1498.10851163041,-1775.53225807751,"cautious",-277.423746447103,"reverse",0,"cautious",-86.0744698974693
"49",1383,"cautious",-342.910080480226,-523.455966243992,"cautious",-180.545885763766,"reverse",1,"confident",-275.873585680258
"50",1383,"confident",-464.85641949507,-484.861254739567,"cautious",-20.0048352444968,"reverse",1,"confident",-275.873585680258
"51",1384,"cautious",-1032.96698455138,-936.093103760801,"confident",96.8738807905792,"parallel",0,"confident",71.7341434614482
"52",1384,"confident",-972.853572867538,-910.36181815659,"confident",62.4917547109482,"parallel",0,"confident",71.7341434614482
"53",1385,"cautious",-1632.60419708134,-1723.24817574965,"cautious",-90.6439786683122,"reverse",1,"cautious",-91.6644864065818
"54",1385,"confident",-1422.4518059833,-1292.33165806361,"confident",130.120147919692,"reverse",1,"cautious",-91.6644864065818
"55",1386,"cautious",-576.810585964191,-937.883769672854,"cautious",-361.073183708663,"parallel",0,"confident",-369.952646360888
"56",1386,"confident",-484.725448973177,-680.916231231132,"cautious",-196.190782257954,"parallel",0,"confident",-369.952646360888
"57",1387,"cautious",-683.361753496846,-760.558780003535,"cautious",-77.1970265066891,"reverse",1,"cautious",-13.8385597027361
"58",1387,"confident",-959.852544222586,-391.580273898974,"confident",568.272270323613,"reverse",1,"cautious",-13.8385597027361
"59",1388,"cautious",-476.4884919334,-426.117827503785,"confident",50.3706644296158,"parallel",0,"cautious",-52.3689696597748
"60",1388,"confident",-486.81476411542,-413.390017704815,"confident",73.4247464106047,"parallel",0,"cautious",-52.3689696597748
"61",1391,"cautious",-441.551475804172,-635.35760170728,"cautious",-193.806125903108,"reverse",1,"cautious",-58.3561814127706
"62",1391,"confident",-769.912597504648,-559.888177543563,"confident",210.024419961085,"reverse",1,"cautious",-58.3561814127706
"63",1393,"cautious",-432.430342039748,-469.85157419437,"cautious",-37.4212321546221,"parallel",0,"confident",-59.9613040284155
"64",1393,"confident",-299.260756083358,-482.505174314088,"cautious",-183.24441823073,"parallel",0,"confident",-59.9613040284155
"65",1394,"cautious",-919.150710454201,-963.735565674795,"cautious",-44.5848552205936,"parallel",0,"confident",-63.052249917524
"66",1394,"confident",-1050.20749315625,-1107.0400732394,"cautious",-56.8325800831492,"parallel",0,"confident",-63.052249917524
"67",1395,"cautious",-315.054560550188,-508.314593812979,"cautious",-193.260033262791,"parallel",1,"cautious",-46.7893099460558
"68",1395,"confident",-713.651934223656,-409.845715364201,"confident",303.806218859455,"parallel",1,"cautious",-46.7893099460558
"69",1397,"cautious",-351.894997784143,-568.882889912869,"cautious",-216.987892128725,"reverse",1,"cautious",-74.8006473289379
"70",1397,"confident",-1040.16492831246,-457.240646817103,"confident",582.924281495358,"reverse",1,"cautious",-74.8006473289379
"71",1399,"cautious",-432.430342039748,-469.85157419437,"cautious",-37.4212321546221,"reverse",0,"confident",91.6700576198871
"72",1399,"confident",-432.430342039748,-469.85157419437,"cautious",-37.4212321546221,"reverse",0,"confident",91.6700576198871
"73",1400,"cautious",-1801.2749961431,-1461.48683012418,"confident",339.788166018925,"parallel",0,"cautious",-50.6917167667971
"74",1400,"confident",-1833.82711184329,-1666.7553062144,"confident",167.071805628884,"parallel",0,"cautious",-50.6917167667971
"75",1401,"cautious",-299.260756083358,-482.505174314088,"cautious",-183.24441823073,"reverse",0,"confident",-478.070099728599
