"","x"
"1",1353
"2",1355
"3",1359
"4",1364
"5",1365
"6",1367
"7",1368
"8",1370
"9",1371
"10",1372
"11",1373
"12",1375
"13",1376
"14",1385
"15",1386
"16",1387
"17",1388
"18",1391
"19",1395
"20",1397
"21",1399
"22",1400
"23",1401
"24",1403
"25",1405
"26",1408
"27",1409
"28",1411
"29",1418
"30",1423
"31",1426
"32",1427
"33",1429
"34",1430
"35",1432
"36",1506
"37",1507
"38",1508
"39",1509
"40",1510
"41",1511
"42",1512
"43",1513
"44",1514
"45",1515
"46",1516
"47",1517
"48",1518
"49",1519
"50",1520
"51",1521
"52",1522
"53",1523
"54",1524
"55",1525
"56",1526
"57",1527
"58",1528
"59",1530
"60",1531
"61",1532
"62",1533
"63",1534
"64",1536
"65",1537
"66",1538
"67",1539
"68",1540
"69",1541
"70",1542
"71",1543
"72",1544
"73",1546
"74",1547
"75",1548
"76",1549
"77",1550
"78",1551
"79",1552
"80",1553
"81",1555
"82",1556
"83",1558
"84",1559
"85",1560
"86",1561
"87",1562
"88",1563
"89",1564
"90",1565
"91",1566
"92",1567
"93",1568
"94",1569
"95",1570
"96",1571
